type,quantile,value,target,forecast_date,target_end_date,location
quantile,0.01,2108534.04,10.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-19,New York State
quantile,0.025,2108664.29375,10.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-19,New York State
quantile,0.05,2108860.775,10.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-19,New York State
quantile,0.1,2109257.375,10.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-19,New York State
quantile,0.15,2109560.2125,10.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-19,New York State
quantile,0.2,2109694.6,10.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-19,New York State
quantile,0.25,2109983.5,10.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-19,New York State
quantile,0.3,2110237.025,10.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-19,New York State
quantile,0.35,2110500.7875,10.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-19,New York State
quantile,0.4,2110737.35,10.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-19,New York State
quantile,0.45,2111016.375,10.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-19,New York State
quantile,0.5,2111253.5,10.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-19,New York State
quantile,0.55,2111877.025,10.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-19,New York State
quantile,0.6,2112313.9,10.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-19,New York State
quantile,0.65,2112826.3625,10.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-19,New York State
quantile,0.7,2113033.35,10.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-19,New York State
quantile,0.75,2113496.875,10.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-19,New York State
quantile,0.8,2114245.45,10.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-19,New York State
quantile,0.85,2115344.975,10.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-19,New York State
quantile,0.9,2116926.9,10.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-19,New York State
quantile,0.95,2118985.8875,10.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-19,New York State
quantile,0.975,2121255.3,10.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-19,New York State
quantile,0.99,2126960.7925,10.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-19,New York State
quantile,0.01,2109326.1775,20.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-29,New York State
quantile,0.025,2109677.34375,20.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-29,New York State
quantile,0.05,2110081.9875,20.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-29,New York State
quantile,0.1,2110487.9,20.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-29,New York State
quantile,0.15,2110930.0875,20.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-29,New York State
quantile,0.2,2111309.35,20.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-29,New York State
quantile,0.25,2111592.0,20.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-29,New York State
quantile,0.3,2111933.25,20.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-29,New York State
quantile,0.35,2112386.4375,20.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-08-29,New York State
