type,quantile,value,target,forecast_date,target_end_date,location
quantile,0.01,17711701.78,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-07-29,New York State
quantile,0.025,17797372.45,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-07-29,New York State
quantile,0.05,17836134.1,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-07-29,New York State
quantile,0.1,17876597.4,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-07-29,New York State
quantile,0.15,17922711.6,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-07-29,New York State
quantile,0.2,17948060.0,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-07-29,New York State
quantile,0.25,17975438.0,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-07-29,New York State
quantile,0.3,18014810.8,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-07-29,New York State
quantile,0.35,18035325.7,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-07-29,New York State
quantile,0.4,18044352.8,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-07-29,New York State
quantile,0.45,18075861.1,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-07-29,New York State
quantile,0.5,18091174.0,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-07-29,New York State
quantile,0.55,18116457.4,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-07-29,New York State
quantile,0.6,18128463.2,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-07-29,New York State
quantile,0.65,18144875.2,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-07-29,New York State
quantile,0.7,18157802.6,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-07-29,New York State
quantile,0.75,18170195.5,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-07-29,New York State
quantile,0.8,18182058.0,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-07-29,New York State
quantile,0.85,18195628.9,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-07-29,New York State
quantile,0.9,18246480.4,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-07-29,New York State
quantile,0.95,18283332.0,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-07-29,New York State
quantile,0.975,18302758.05,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-07-29,New York State
quantile,0.99,18308684.0,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-07-29,New York State
quantile,0.01,19327471.6,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-08,New York State
quantile,0.025,19333348.1,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-08,New York State
quantile,0.05,19342080.8,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-08,New York State
quantile,0.1,19352842.2,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-08,New York State
quantile,0.15,19362981.0,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-08,New York State
quantile,0.2,19370862.4,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-08,New York State
quantile,0.25,19374409.0,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-08,New York State
quantile,0.3,19381756.0,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-08,New York State
quantile,0.35,19387468.9,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-08,New York State
quantile,0.4,19391606.4,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-08,New York State
quantile,0.45,19394898.5,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-08,New York State
quantile,0.5,19401049.0,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-08,New York State
quantile,0.55,19405049.9,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-08,New York State
quantile,0.6,19405857.6,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-08,New York State
quantile,0.65,19407359.9,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-08,New York State
quantile,0.7,19410652.6,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-08,New York State
quantile,0.75,19415530.5,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-08,New York State
quantile,0.8,19417040.4,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-08,New York State
quantile,0.85,19421194.0,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-08,New York State
quantile,0.9,19425740.0,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-08,New York State
quantile,0.95,19434607.5,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-08,New York State
quantile,0.975,19440107.65,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-08,New York State
quantile,0.99,19442353.64,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-08,New York State
quantile,0.01,19573662.56,30.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-18,New York State
quantile,0.025,19575184.9,30.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-18,New York State
quantile,0.05,19576425.0,30.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-18,New York State
quantile,0.1,19579916.0,30.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-18,New York State
quantile,0.15,19581592.2,30.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-18,New York State
quantile,0.2,19582534.8,30.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-18,New York State
quantile,0.25,19583078.5,30.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-18,New York State
quantile,0.3,19585399.6,30.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-18,New York State
quantile,0.35,19586372.3,30.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-18,New York State
quantile,0.4,19586739.6,30.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-18,New York State
quantile,0.45,19587360.7,30.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-18,New York State
quantile,0.5,19588324.0,30.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-18,New York State
quantile,0.55,19589025.0,30.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-18,New York State
quantile,0.6,19589452.4,30.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-18,New York State
quantile,0.65,19589728.1,30.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-18,New York State
quantile,0.7,19590176.0,30.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-18,New York State
quantile,0.75,19591170.5,30.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-18,New York State
quantile,0.8,19591839.6,30.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-18,New York State
quantile,0.85,19592469.0,30.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-18,New York State
quantile,0.9,19593152.6,30.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-18,New York State
quantile,0.95,19594699.8,30.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-18,New York State
quantile,0.975,19596021.55,30.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-18,New York State
quantile,0.99,19596306.32,30.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-18,New York State
quantile,0.01,19612910.9,40.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-28,New York State
quantile,0.025,19613042.9,40.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-28,New York State
quantile,0.05,19613441.3,40.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-28,New York State
quantile,0.1,19614071.4,40.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-28,New York State
quantile,0.15,19614384.9,40.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-28,New York State
quantile,0.2,19614458.8,40.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-28,New York State
quantile,0.25,19614693.0,40.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-28,New York State
quantile,0.3,19615072.0,40.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-28,New York State
quantile,0.35,19615239.6,40.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-28,New York State
quantile,0.4,19615354.8,40.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-28,New York State
quantile,0.45,19615426.0,40.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-28,New York State
quantile,0.5,19615536.0,40.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-28,New York State
quantile,0.55,19615704.1,40.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-28,New York State
quantile,0.6,19615754.8,40.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-28,New York State
quantile,0.65,19615850.9,40.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-28,New York State
quantile,0.7,19615912.8,40.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-28,New York State
quantile,0.75,19616093.0,40.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-28,New York State
quantile,0.8,19616211.2,40.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-28,New York State
quantile,0.85,19616345.8,40.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-28,New York State
quantile,0.9,19616459.8,40.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-28,New York State
quantile,0.95,19616681.5,40.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-28,New York State
quantile,0.975,19616920.55,40.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-28,New York State
quantile,0.99,19617044.1,40.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-08-28,New York State
quantile,0.01,19619021.94,50.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-07,New York State
quantile,0.025,19619085.6,50.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-07,New York State
quantile,0.05,19619144.2,50.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-07,New York State
quantile,0.1,19619257.6,50.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-07,New York State
quantile,0.15,19619303.7,50.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-07,New York State
quantile,0.2,19619333.2,50.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-07,New York State
quantile,0.25,19619382.5,50.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-07,New York State
quantile,0.3,19619443.4,50.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-07,New York State
quantile,0.35,19619472.0,50.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-07,New York State
quantile,0.4,19619491.2,50.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-07,New York State
quantile,0.45,19619501.3,50.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-07,New York State
quantile,0.5,19619520.0,50.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-07,New York State
quantile,0.55,19619542.0,50.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-07,New York State
quantile,0.6,19619556.4,50.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-07,New York State
quantile,0.65,19619582.7,50.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-07,New York State
quantile,0.7,19619589.8,50.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-07,New York State
quantile,0.75,19619614.0,50.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-07,New York State
quantile,0.8,19619634.8,50.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-07,New York State
quantile,0.85,19619656.3,50.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-07,New York State
quantile,0.9,19619697.2,50.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-07,New York State
quantile,0.95,19619718.7,50.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-07,New York State
quantile,0.975,19619750.8,50.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-07,New York State
quantile,0.99,19619774.06,50.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-07,New York State
quantile,0.01,19620011.94,60.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-17,New York State
quantile,0.025,19620021.6,60.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-17,New York State
quantile,0.05,19620035.7,60.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-17,New York State
quantile,0.1,19620055.6,60.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-17,New York State
quantile,0.15,19620063.4,60.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-17,New York State
quantile,0.2,19620070.0,60.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-17,New York State
quantile,0.25,19620077.0,60.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-17,New York State
quantile,0.3,19620082.0,60.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-17,New York State
quantile,0.35,19620089.3,60.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-17,New York State
quantile,0.4,19620092.0,60.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-17,New York State
quantile,0.45,19620098.0,60.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-17,New York State
quantile,0.5,19620100.0,60.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-17,New York State
quantile,0.55,19620102.0,60.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-17,New York State
quantile,0.6,19620106.0,60.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-17,New York State
quantile,0.65,19620108.7,60.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-17,New York State
quantile,0.7,19620110.0,60.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-17,New York State
quantile,0.75,19620112.0,60.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-17,New York State
quantile,0.8,19620116.0,60.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-17,New York State
quantile,0.85,19620126.3,60.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-17,New York State
quantile,0.9,19620136.0,60.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-17,New York State
quantile,0.95,19620140.1,60.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-17,New York State
quantile,0.975,19620142.0,60.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-17,New York State
quantile,0.99,19620142.08,60.0 days ahead cum model_0/Cumulative_cases_state,2021-07-19,2021-09-17,New York State
quantile,0.01,1766574.43375,10.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-07-29,New York State
quantile,0.025,1772703.253125,10.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-07-29,New York State
quantile,0.05,1798574.15625,10.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-07-29,New York State
quantile,0.1,1806150.4375,10.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-07-29,New York State
quantile,0.15,1824921.34375,10.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-07-29,New York State
quantile,0.2,1858227.225,10.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-07-29,New York State
quantile,0.25,1872116.9375,10.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-07-29,New York State
quantile,0.3,1883356.0375,10.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-07-29,New York State
quantile,0.35,1903220.175,10.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-07-29,New York State
quantile,0.4,1907421.725,10.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-07-29,New York State
quantile,0.45,1914800.6625,10.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-07-29,New York State
quantile,0.5,1924906.6875,10.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-07-29,New York State
quantile,0.55,1931585.875,10.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-07-29,New York State
quantile,0.6,1942223.325,10.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-07-29,New York State
quantile,0.65,1947639.3062500001,10.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-07-29,New York State
quantile,0.7,1961443.0125,10.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-07-29,New York State
quantile,0.75,1977552.53125,10.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-07-29,New York State
quantile,0.8,1986108.65,10.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-07-29,New York State
quantile,0.85,1999972.23125,10.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-07-29,New York State
quantile,0.9,2017339.35,10.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-07-29,New York State
quantile,0.95,2073222.68125,10.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-07-29,New York State
quantile,0.975,2094577.996875,10.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-07-29,New York State
quantile,0.99,2099948.7525000004,10.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-07-29,New York State
quantile,0.01,2241402.3725,20.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-08,New York State
quantile,0.025,2259486.6625,20.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-08,New York State
quantile,0.05,2278921.1625,20.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-08,New York State
quantile,0.1,2289212.3,20.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-08,New York State
quantile,0.15,2305038.1125,20.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-08,New York State
quantile,0.2,2319411.85,20.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-08,New York State
quantile,0.25,2330997.5,20.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-08,New York State
quantile,0.3,2360206.35,20.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-08,New York State
quantile,0.35,2370282.0125,20.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-08,New York State
quantile,0.4,2379169.35,20.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-08,New York State
quantile,0.45,2388146.4125,20.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-08,New York State
quantile,0.5,2397981.625,20.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-08,New York State
quantile,0.55,2408707.5,20.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-08,New York State
quantile,0.6,2423343.2,20.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-08,New York State
quantile,0.65,2432683.8,20.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-08,New York State
quantile,0.7,2442453.05,20.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-08,New York State
quantile,0.75,2445861.25,20.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-08,New York State
quantile,0.8,2457593.0,20.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-08,New York State
quantile,0.85,2469936.0375,20.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-08,New York State
quantile,0.9,2495282.225,20.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-08,New York State
quantile,0.95,2554986.3875,20.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-08,New York State
quantile,0.975,2578691.90625,20.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-08,New York State
quantile,0.99,2602156.4000000004,20.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-08,New York State
quantile,0.01,2338537.2125,30.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-18,New York State
quantile,0.025,2361669.8375,30.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-18,New York State
quantile,0.05,2376342.9125,30.0 days ahead cum model_0/Cumulative_hosp_state,2021-07-19,2021-08-18,New York State
