Timestamp,cases
0.2,0
0.4,0
0.6,0
0.8,1
1.0,1
1.2,0
1.4,1
1.6,2
1.8,0
2.0,0
2.2,2
2.4,0
2.6,2
2.8,1
3.0,2
3.2,0
3.4,0
3.6,0
3.8,0
4.0,1
4.2,0
4.4,0
4.6,0
4.8,1
5.0,2
5.2,2
5.4,2
5.6,1
5.8,1
6.0,2
6.2,3
6.4,0
6.6,1
6.8,1
7.0,2
7.2,0
7.4,4
7.6,1
7.8,3
8.0,0
8.2,0
8.4,3
8.6,6
8.8,2
9.0,3
9.2,1
9.4,1
9.6,4
9.8,6
10.0,3
10.2,4
10.4,5
10.6,2
10.8,3
11.0,3
11.2,2
11.4,4
11.6,2
11.8,2
12.0,5
12.2,7
12.4,5
12.6,4
12.8,2
13.0,5
13.2,4
13.4,4
13.6,0
13.8,7
14.0,0
14.2,4
14.4,4
14.6,10
14.8,12
15.0,8
15.2,8
15.4,2
15.6,9
15.8,6
16.0,5
16.2,2
16.4,9
16.6,10
16.8,6
17.0,5
17.2,6
17.4,11
17.6,10
17.8,5
18.0,8
18.2,8
18.4,9
18.6,8
18.8,8
19.0,9
19.2,8
19.4,8
19.6,11
19.8,14
20.0,13
20.2,8
20.4,8
20.6,11
20.8,17
21.0,19
21.2,13
21.4,18
21.6,14
21.8,15
22.0,13
22.2,16
22.4,16
22.6,11
22.8,17
23.0,18
23.2,20
23.4,20
23.6,23
23.8,23
24.0,18
24.2,23
24.4,22
24.6,24
24.8,21
25.0,28
25.2,37
25.4,25
25.6,30
25.8,27
26.0,28
26.2,26
26.4,30
26.6,35
26.8,31
27.0,29
27.2,35
27.4,38
27.6,38
27.8,43
28.0,44
28.2,37
28.4,42
28.6,44
28.8,46
29.0,57
29.2,51
29.4,46
29.6,50
29.8,73
30.0,51
30.2,64
30.4,55
30.6,52
30.8,54
31.0,78
31.2,53
31.4,70
31.6,65
31.8,85
32.0,75
32.2,79
32.4,71
32.6,69
32.8,79
33.0,99
33.2,89
33.4,88
33.6,116
33.8,91
34.0,107
34.2,113
34.4,108
34.6,112
34.8,112
35.0,129
35.2,119
35.4,145
35.6,119
35.8,120
36.0,168
36.2,153
36.4,154
36.6,151
36.8,167
37.0,157
37.2,159
37.4,199
37.6,190
37.8,202
38.0,193
38.2,197
38.4,213
38.6,216
38.8,252
39.0,221
39.2,250
39.4,261
39.6,241
39.8,284
40.0,273
40.2,266
40.4,270
40.6,273
40.8,264
41.0,284
41.2,329
41.4,297
41.6,301
41.8,309
42.0,310
42.2,264
42.4,304
42.6,289
42.8,281
43.0,307
43.2,274
43.4,272
43.6,286
43.8,268
44.0,294
44.2,274
44.4,274
44.6,291
44.8,271
45.0,265
45.2,284
45.4,253
45.6,298
45.8,277
46.0,273
46.2,248
46.4,293
46.6,298
46.8,297
47.0,279
47.2,259
47.4,260
47.6,273
47.8,262
48.0,256
48.2,272
48.4,268
48.6,282
48.8,263
49.0,284
49.2,226
49.4,272
49.6,279
49.8,257
50.0,247
50.2,265
50.4,245
50.6,257
50.8,255
51.0,230
51.2,262
51.4,255
51.6,260
51.8,253
52.0,271
52.2,239
52.4,265
52.6,255
52.8,270
53.0,271
53.2,263
53.4,256
53.6,228
53.8,267
54.0,243
54.2,268
54.4,232
54.6,252
54.8,270
55.0,230
55.2,249
55.4,248
55.6,246
55.8,249
56.0,235
56.2,217
56.4,236
56.6,235
56.8,258
57.0,237
57.2,263
57.4,231
57.6,217
57.8,239
58.0,223
58.2,244
58.4,249
58.6,223
58.8,239
59.0,219
59.2,242
59.4,248
59.6,231
59.8,240
60.0,214
60.2,266
60.4,226
60.6,222
60.8,248
61.0,214
61.2,231
61.4,232
61.6,223
61.8,205
62.0,213
62.2,201
62.4,193
62.6,176
62.8,216
63.0,224
63.2,203
63.4,204
63.6,191
63.8,187
64.0,204
64.2,181
64.4,158
64.6,172
64.8,184
65.0,172
65.2,153
65.4,158
65.6,149
65.8,153
66.0,151
66.2,132
66.4,163
66.6,142
66.8,137
67.0,152
67.2,147
67.4,132
67.6,130
67.8,141
68.0,103
68.2,136
68.4,112
68.6,118
68.8,111
69.0,140
69.2,122
69.4,135
69.6,121
69.8,140
70.0,108
70.2,95
70.4,98
70.6,101
70.8,87
71.0,101
71.2,99
71.4,99
71.6,107
71.8,100
72.0,99
72.2,87
72.4,101
72.6,87
72.8,89
73.0,97
73.2,78
73.4,68
73.6,74
73.8,78
74.0,81
74.2,89
74.4,92
74.6,67
74.8,73
75.0,75
75.2,67
75.4,80
75.6,82
75.8,71
76.0,82
76.2,69
76.4,77
76.6,76
76.8,56
77.0,63
77.2,75
77.4,59
77.6,52
77.8,64
78.0,47
78.2,65
78.4,55
78.6,49
78.8,61
79.0,45
79.2,65
79.4,42
79.6,53
79.8,41
80.0,53
80.2,55
80.4,43
80.6,49
80.8,50
81.0,54
81.2,40
81.4,44
81.6,48
81.8,35
82.0,50
82.2,43
82.4,43
82.6,37
82.8,37
83.0,49
83.2,34
83.4,35
83.6,25
83.8,41
84.0,37
84.2,32
84.4,45
84.6,34
84.8,25
85.0,35
85.2,33
85.4,41
85.6,35
85.8,40
86.0,26
86.2,32
86.4,27
86.6,43
86.8,23
87.0,30
87.2,37
87.4,34
87.6,30
87.8,37
88.0,31
88.2,25
88.4,25
88.6,28
88.8,24
89.0,24
89.2,29
89.4,20
89.6,24
89.8,24
90.0,24
90.2,23
90.4,23
90.6,16
90.8,30
91.0,19
91.2,22
91.4,29
91.6,28
91.8,27
92.0,26
92.2,31
92.4,21
92.6,22
92.8,19
93.0,21
93.2,22
93.4,23
93.6,20
93.8,17
94.0,17
94.2,19
94.4,17
94.6,21
94.8,10
95.0,16
95.2,12
95.4,15
95.6,21
95.8,15
96.0,13
96.2,11
96.4,12
96.6,17
96.8,15
97.0,14
97.2,19
97.4,19
97.6,12
97.8,16
98.0,15
98.2,17
98.4,16
98.6,8
98.8,19
99.0,10
99.2,12
99.4,9
99.6,17
99.8,12
100.0,12
100.2,8
100.4,8
100.6,9
100.8,10
101.0,13
101.2,11
101.4,11
101.6,15
101.8,12
102.0,7
102.2,15
102.4,11
102.6,10
102.8,21
103.0,9
103.2,15
103.4,20
103.6,11
103.8,18
104.0,14
104.2,7
104.4,14
104.6,17
104.8,13
105.0,11
105.2,20
105.4,15
105.6,21
105.8,14
106.0,19
106.2,26
106.4,8
106.6,10
106.8,21
107.0,17
107.2,20
107.4,18
107.6,15
107.8,10
108.0,12
108.2,15
108.4,16
108.6,17
108.8,11
109.0,12
109.2,21
109.4,12
109.6,16
109.8,19
110.0,23
110.2,26
110.4,16
110.6,21
110.8,8
111.0,20
111.2,16
111.4,15
111.6,18
111.8,11
112.0,17
112.2,15
112.4,14
112.6,17
112.8,22
113.0,19
113.2,20
113.4,13
113.6,19
113.8,18
114.0,14
114.2,15
114.4,9
114.6,21
114.8,27
115.0,27
115.2,16
115.4,19
115.6,18
115.8,18
116.0,16
116.2,12
116.4,18
116.6,20
116.8,14
117.0,15
117.2,17
117.4,23
117.6,21
117.8,24
118.0,18
118.2,9
118.4,21
118.6,16
118.8,16
119.0,13
119.2,16
119.4,18
119.6,10
119.8,12
120.0,21
120.2,20
120.4,23
120.6,13
120.8,21
121.0,14
121.2,26
121.4,12
121.6,22
121.8,24
122.0,19
122.2,19
122.4,13
122.6,18
122.8,13
123.0,17
123.2,20
123.4,24
123.6,13
123.8,12
124.0,21
124.2,12
124.4,25
124.6,21
124.8,19
125.0,24
125.2,24
125.4,28
125.6,18
125.8,22
126.0,14
126.2,19
126.4,12
126.6,24
126.8,35
127.0,16
127.2,28
127.4,35
127.6,26
127.8,20
128.0,27
128.2,17
128.4,21
128.6,28
128.8,26
129.0,26
129.2,26
129.4,22
129.6,27
129.8,20
130.0,17
130.2,32
130.4,17
130.6,21
130.8,23
131.0,19
131.2,22
131.4,30
131.6,21
131.8,27
132.0,26
132.2,34
132.4,23
132.6,23
132.8,25
133.0,26
133.2,25
133.4,19
133.6,25
133.8,27
134.0,34
134.2,25
134.4,32
134.6,20
134.8,21
135.0,17
135.2,29
135.4,27
135.6,38
135.8,37
136.0,28
136.2,35
136.4,40
136.6,20
136.8,23
137.0,28
137.2,20
137.4,28
137.6,32
137.8,16
138.0,27
138.2,27
138.4,31
138.6,27
138.8,29
139.0,29
139.2,23
139.4,40
139.6,42
139.8,28
140.0,37
140.2,28
140.4,31
140.6,27
140.8,20
141.0,29
141.2,33
141.4,27
141.6,35
141.8,36
142.0,37
142.2,31
142.4,33
142.6,36
142.8,37
143.0,37
143.2,38
143.4,36
143.6,34
143.8,30
144.0,30
144.2,34
144.4,32
144.6,26
144.8,36
145.0,41
145.2,38
145.4,43
145.6,29
145.8,26
146.0,50
146.2,32
146.4,47
146.6,38
146.8,36
147.0,25
147.2,33
147.4,32
147.6,51
147.8,39
148.0,32
148.2,30
148.4,29
148.6,28
148.8,37
149.0,27
149.2,32
149.4,47
149.6,42
149.8,46
150.0,40
150.2,41
150.4,45
150.6,30
150.8,42
151.0,58
151.2,51
151.4,45
151.6,32
151.8,34
152.0,31
152.2,48
152.4,50
152.6,42
152.8,34
153.0,57
153.2,43
153.4,43
153.6,36
153.8,29
154.0,38
154.2,28
154.4,40
154.6,41
154.8,41
155.0,39
155.2,46
155.4,41
155.6,43
155.8,37
156.0,48
156.2,32
156.4,42
156.6,40
156.8,52
157.0,44
157.2,40
157.4,37
157.6,35
157.8,51
158.0,52
158.2,64
158.4,43
158.6,40
158.8,48
159.0,61
159.2,63
159.4,52
159.6,43
159.8,51
160.0,51
160.2,40
160.4,39
160.6,47
160.8,47
161.0,43
161.2,60
161.4,40
161.6,60
161.8,46
162.0,37
162.2,50
162.4,50
162.6,40
162.8,44
163.0,64
163.2,42
163.4,47
163.6,51
163.8,46
164.0,34
164.2,42
164.4,40
164.6,52
164.8,44
165.0,52
165.2,58
165.4,57
165.6,55
165.8,46
166.0,48
166.2,45
166.4,50
166.6,57
166.8,57
167.0,54
167.2,68
167.4,48
167.6,49
167.8,56
168.0,51
168.2,58
168.4,38
168.6,51
168.8,56
169.0,53
169.2,53
169.4,48
169.6,57
169.8,61
170.0,58
170.2,61
170.4,46
170.6,57
170.8,43
171.0,63
171.2,55
171.4,53
171.6,47
171.8,53
172.0,57
172.2,54
172.4,65
172.6,53
172.8,72
173.0,63
173.2,63
173.4,62
173.6,42
173.8,46
174.0,55
174.2,53
174.4,50
174.6,52
174.8,44
175.0,58
175.2,60
175.4,72
175.6,54
175.8,63
176.0,55
176.2,70
176.4,54
176.6,51
176.8,69
177.0,67
177.2,66
177.4,73
177.6,45
177.8,55
178.0,58
178.2,54
178.4,52
178.6,69
178.8,69
179.0,54
179.2,67
179.4,60
179.6,91
179.8,55
180.0,58
180.2,49
180.4,59
180.6,68
180.8,57
181.0,56
181.2,65
181.4,63
181.6,64
181.8,67
182.0,66
182.2,60
182.4,64
182.6,54
182.8,71
183.0,68
183.2,77
183.4,69
183.6,56
183.8,87
184.0,75
184.2,73
184.4,77
184.6,58
184.8,62
185.0,62
185.2,61
185.4,79
185.6,58
185.8,69
186.0,71
186.2,66
186.4,65
186.6,81
186.8,69
187.0,74
187.2,75
187.4,65
187.6,74
187.8,59
188.0,76
188.2,75
188.4,69
188.6,63
188.8,61
189.0,54
189.2,69
189.4,62
189.6,67
189.8,75
190.0,65
190.2,76
190.4,83
190.6,74
190.8,74
191.0,72
191.2,55
191.4,78
191.6,80
191.8,83
192.0,69
192.2,70
192.4,84
192.6,83
192.8,72
193.0,87
193.2,75
193.4,75
193.6,87
193.8,98
194.0,63
194.2,78
194.4,71
194.6,71
194.8,72
195.0,89
195.2,89
195.4,78
195.6,87
195.8,89
196.0,77
196.2,77
196.4,93
196.6,78
196.8,78
197.0,65
197.2,90
197.4,74
197.6,73
197.8,90
198.0,77
198.2,75
198.4,77
198.6,75
198.8,78
199.0,83
199.2,91
199.4,72
199.6,89
199.8,97
200.0,86
