Timestamp,cases,deaths
0.2,0,0
0.4,0,0
0.6,0,0
0.8,1,0
1.0,1,0
1.2,0,0
1.4,1,0
1.6,2,0
1.8,0,0
2.0,0,0
2.2,2,0
2.4,0,0
2.6,2,0
2.8,1,0
3.0,2,0
3.2,0,0
3.4,0,0
3.6,0,0
3.8,0,0
4.0,1,0
4.2,0,0
4.4,0,0
4.6,0,0
4.8,1,0
5.0,2,0
5.2,2,0
5.4,2,0
5.6,1,0
5.8,1,0
6.0,2,0
6.2,3,0
6.4,0,0
6.6,1,0
6.8,1,0
7.0,2,0
7.2,0,0
7.4,4,0
7.6,1,0
7.8,3,0
8.0,0,0
8.2,0,0
8.4,3,0
8.6,6,0
8.8,2,0
9.0,3,0
9.2,1,0
9.4,1,0
9.6,4,0
9.8,6,0
10.0,3,0
10.2,4,0
10.4,5,0
10.6,2,0
10.8,3,0
11.0,3,0
11.2,2,0
11.4,4,0
11.6,2,0
11.8,2,0
12.0,5,0
12.2,7,0
12.4,5,0
12.6,4,0
12.8,2,0
13.0,5,0
13.2,4,0
13.4,4,0
13.6,0,0
13.8,7,0
14.0,0,0
14.2,4,0
14.4,4,0
14.6,10,0
14.8,12,0
15.0,8,0
15.2,8,0
15.4,2,0
15.6,9,0
15.8,6,0
16.0,5,0
16.2,2,0
16.4,9,0
16.6,10,0
16.8,6,0
17.0,5,0
17.2,6,0
17.4,11,0
17.6,10,0
17.8,5,0
18.0,8,0
18.2,8,0
18.4,9,0
18.6,8,0
18.8,8,0
19.0,9,0
19.2,8,0
19.4,8,0
19.6,11,0
19.8,14,0
20.0,13,0
20.2,8,0
20.4,8,0
20.6,11,0
20.8,17,1
21.0,19,1
21.2,13,1
21.4,18,1
21.6,14,1
21.8,15,1
22.0,13,1
22.2,16,1
22.4,16,1
22.6,11,1
22.8,17,1
23.0,18,1
23.2,20,1
23.4,20,2
23.6,23,2
23.8,23,2
24.0,18,2
24.2,23,2
24.4,22,2
24.6,24,2
24.8,21,2
25.0,28,2
25.2,37,2
25.4,25,2
25.6,30,2
25.8,27,2
26.0,28,2
26.2,26,2
26.4,30,2
26.6,35,2
26.8,31,2
27.0,29,2
27.2,35,2
27.4,38,2
27.6,38,2
27.8,43,2
28.0,44,2
28.2,37,2
28.4,42,2
28.6,44,2
28.8,46,2
29.0,57,2
29.2,51,2
29.4,46,2
29.6,50,2
29.8,73,2
30.0,51,2
30.2,64,2
30.4,55,2
30.6,52,3
30.8,54,3
31.0,78,3
31.2,53,3
31.4,70,3
31.6,65,3
31.8,85,3
32.0,75,3
32.2,79,3
32.4,71,3
32.6,69,4
32.8,79,4
33.0,99,4
33.2,89,4
33.4,88,4
33.6,116,5
33.8,91,5
34.0,107,5
34.2,113,5
34.4,108,5
34.6,112,5
34.8,112,5
35.0,129,5
35.2,119,5
35.4,145,5
35.6,119,5
35.8,120,5
36.0,168,5
36.2,153,5
36.4,154,5
36.6,151,5
36.8,167,6
37.0,157,6
37.2,159,7
37.4,199,7
37.6,190,7
37.8,202,7
38.0,193,7
38.2,197,8
38.4,213,8
38.6,216,8
38.8,252,8
39.0,221,8
39.2,250,9
39.4,261,10
39.6,241,10
39.8,284,10
40.0,273,10
40.2,266,10
40.4,270,11
40.6,273,11
40.8,264,11
41.0,284,13
41.2,329,13
41.4,297,13
41.6,301,13
41.8,309,13
42.0,310,13
42.2,264,13
42.4,304,14
42.6,289,15
42.8,281,15
43.0,307,15
43.2,274,15
43.4,272,16
43.6,286,16
43.8,268,16
44.0,294,16
44.2,274,16
44.4,274,18
44.6,291,18
44.8,271,19
45.0,265,20
45.2,284,21
45.4,253,21
45.6,298,22
45.8,277,22
46.0,273,24
46.2,248,27
46.4,293,27
46.6,298,28
46.8,297,29
47.0,279,29
47.2,259,30
47.4,260,31
47.6,273,34
47.8,262,35
48.0,256,35
48.2,272,36
48.4,268,36
48.6,282,37
48.8,263,37
49.0,284,37
49.2,226,40
49.4,272,40
49.6,279,40
49.8,257,40
50.0,247,41
50.2,265,44
50.4,245,45
50.6,257,46
50.8,255,50
51.0,230,51
51.2,262,55
51.4,255,57
51.6,260,58
51.8,253,61
52.0,271,62
52.2,239,65
52.4,265,66
52.6,255,66
52.8,270,66
53.0,271,68
53.2,263,68
53.4,256,69
53.6,228,70
53.8,267,73
54.0,243,73
54.2,268,75
54.4,232,77
54.6,252,79
54.8,270,80
55.0,230,81
55.2,249,82
55.4,248,85
55.6,246,86
55.8,249,86
56.0,235,87
56.2,217,88
56.4,236,91
56.6,235,91
56.8,258,93
57.0,237,97
57.2,263,98
57.4,231,102
57.6,217,102
57.8,239,103
58.0,223,104
58.2,244,107
58.4,249,109
58.6,223,111
58.8,239,112
59.0,219,112
59.2,242,113
59.4,248,116
59.6,231,116
59.8,240,118
60.0,214,119
60.2,266,121
60.4,226,124
60.6,222,124
60.8,248,126
61.0,214,126
61.2,231,127
61.4,232,129
61.6,223,130
61.8,205,130
62.0,213,132
62.2,201,134
62.4,193,136
62.6,176,138
62.8,216,140
63.0,224,145
63.2,203,148
63.4,204,149
63.6,191,150
63.8,187,151
64.0,204,153
64.2,181,154
64.4,158,156
64.6,172,159
64.8,184,160
65.0,172,160
65.2,153,161
65.4,158,162
65.6,149,162
65.8,153,163
66.0,151,163
66.2,132,163
66.4,163,163
66.6,142,163
66.8,137,163
67.0,152,164
67.2,147,165
67.4,132,168
67.6,130,168
67.8,141,170
68.0,103,172
68.2,136,174
68.4,112,174
68.6,118,177
68.8,111,178
69.0,140,179
69.2,122,180
69.4,135,181
69.6,121,184
69.8,140,185
70.0,108,185
70.2,95,189
70.4,98,189
70.6,101,191
70.8,87,192
71.0,101,196
71.2,99,197
71.4,99,197
71.6,107,198
71.8,100,199
72.0,99,199
72.2,87,200
72.4,101,200
72.6,87,200
72.8,89,201
73.0,97,203
73.2,78,204
73.4,68,204
73.6,74,205
73.8,78,207
74.0,81,208
74.2,89,209
74.4,92,212
74.6,67,213
74.8,73,215
75.0,75,219
75.2,67,220
75.4,80,220
75.6,82,221
75.8,71,221
76.0,82,221
76.2,69,222
76.4,77,225
76.6,76,226
76.8,56,228
77.0,63,230
77.2,75,231
77.4,59,232
77.6,52,234
77.8,64,236
78.0,47,236
78.2,65,237
78.4,55,237
78.6,49,238
78.8,61,239
79.0,45,239
79.2,65,240
79.4,42,240
79.6,53,240
79.8,41,243
80.0,53,244
80.2,55,246
80.4,43,247
80.6,49,248
80.8,50,249
81.0,54,250
81.2,40,252
81.4,44,253
81.6,48,255
81.8,35,257
82.0,50,258
82.2,43,260
82.4,43,261
82.6,37,263
82.8,37,263
83.0,49,264
83.2,34,264
83.4,35,265
83.6,25,265
83.8,41,265
84.0,37,265
84.2,32,266
84.4,45,266
84.6,34,267
84.8,25,269
85.0,35,269
85.2,33,269
85.4,41,269
85.6,35,270
85.8,40,271
86.0,26,271
86.2,32,271
86.4,27,271
86.6,43,274
86.8,23,275
87.0,30,275
87.2,37,276
87.4,34,278
87.6,30,279
87.8,37,279
88.0,31,279
88.2,25,281
88.4,25,282
88.6,28,283
88.8,24,284
89.0,24,285
89.2,29,286
89.4,20,287
89.6,24,288
89.8,24,288
90.0,24,288
90.2,23,289
90.4,23,289
90.6,16,289
90.8,30,290
91.0,19,291
91.2,22,291
91.4,29,292
91.6,28,293
91.8,27,293
92.0,26,294
92.2,31,294
92.4,21,294
92.6,22,294
92.8,19,295
93.0,21,295
93.2,22,295
93.4,23,295
93.6,20,295
93.8,17,296
94.0,17,296
94.2,19,296
94.4,17,296
94.6,21,296
94.8,10,297
95.0,16,297
95.2,12,297
95.4,15,297
95.6,21,297
95.8,15,297
96.0,13,297
96.2,11,297
96.4,12,297
96.6,17,298
96.8,15,298
97.0,14,298
97.2,19,298
97.4,19,298
97.6,12,299
97.8,16,299
98.0,15,300
98.2,17,300
98.4,16,300
98.6,8,300
98.8,19,301
99.0,10,301
99.2,12,302
99.4,9,302
99.6,17,302
99.8,12,302
100.0,12,302
100.2,8,302
100.4,8,302
100.6,9,302
100.8,10,303
101.0,13,303
101.2,11,303
101.4,11,303
101.6,15,303
101.8,12,303
102.0,7,303
102.2,15,303
102.4,11,303
102.6,10,303
102.8,21,303
103.0,9,303
103.2,15,303
103.4,20,303
103.6,11,303
103.8,18,304
