Timestamp,cases
1.0,1
2.0,0
3.0,2
4.0,1
5.0,2
6.0,2
7.0,2
8.0,0
9.0,3
10.0,3
11.0,3
12.0,5
13.0,5
14.0,0
15.0,8
16.0,5
17.0,5
18.0,8
19.0,9
20.0,13
21.0,19
22.0,13
23.0,18
24.0,18
25.0,28
26.0,28
27.0,29
28.0,44
29.0,57
30.0,51
31.0,78
32.0,75
33.0,99
34.0,107
35.0,129
36.0,168
37.0,157
38.0,193
39.0,221
40.0,273
41.0,284
42.0,310
43.0,307
44.0,294
45.0,265
46.0,273
47.0,279
48.0,256
49.0,284
50.0,247
51.0,230
52.0,271
53.0,271
54.0,243
55.0,230
56.0,235
57.0,237
58.0,223
59.0,219
60.0,214
61.0,214
62.0,213
63.0,224
64.0,204
65.0,172
66.0,151
67.0,152
68.0,103
69.0,140
70.0,108
71.0,101
72.0,99
73.0,97
74.0,81
75.0,75
76.0,82
77.0,63
78.0,47
79.0,45
80.0,53
81.0,54
82.0,50
83.0,49
84.0,37
85.0,35
86.0,26
87.0,30
88.0,31
89.0,24
90.0,24
91.0,19
92.0,26
93.0,21
94.0,17
95.0,16
96.0,13
97.0,14
98.0,15
99.0,10
100.0,12
101.0,13
102.0,7
103.0,9
104.0,14
105.0,11
106.0,19
107.0,17
108.0,12
109.0,12
110.0,23
111.0,20
112.0,17
113.0,19
114.0,14
115.0,27
116.0,16
117.0,15
118.0,18
119.0,13
120.0,21
121.0,14
122.0,19
123.0,17
124.0,21
125.0,24
126.0,14
127.0,16
128.0,27
129.0,26
130.0,17
131.0,19
132.0,26
133.0,26
134.0,34
135.0,17
136.0,28
137.0,28
138.0,27
139.0,29
140.0,37
141.0,29
142.0,37
143.0,37
144.0,30
145.0,41
146.0,50
147.0,25
148.0,32
149.0,27
150.0,40
151.0,58
152.0,31
153.0,57
154.0,38
155.0,39
156.0,48
157.0,44
158.0,52
159.0,61
160.0,51
161.0,43
162.0,37
163.0,64
164.0,34
165.0,52
166.0,48
167.0,54
168.0,51
169.0,53
170.0,58
171.0,63
172.0,57
173.0,63
174.0,55
175.0,58
176.0,55
177.0,67
178.0,58
179.0,54
180.0,58
181.0,56
182.0,66
183.0,68
184.0,75
185.0,62
186.0,71
187.0,74
188.0,76
189.0,54
190.0,65
191.0,72
192.0,69
193.0,87
194.0,63
195.0,89
196.0,77
197.0,65
198.0,77
199.0,83
200.0,86
