Timestamp,cases
0.2,0
0.4,0
0.6,0
0.8,0
1.0,0
1.2,1
1.4,0
1.6,0
1.8,3
2.0,1
2.2,2
2.4,0
2.6,0
2.8,0
3.0,0
3.2,2
3.4,1
3.6,0
3.8,0
4.0,2
4.2,2
4.4,2
4.6,2
4.8,2
5.0,0
5.2,2
5.4,2
5.6,0
5.8,1
6.0,0
6.2,0
6.4,2
6.6,4
6.8,1
7.0,0
7.2,1
7.4,2
7.6,2
7.8,5
8.0,1
8.2,1
8.4,2
8.6,2
8.8,4
9.0,2
9.2,1
9.4,3
9.6,5
9.8,0
10.0,0
10.2,3
10.4,1
10.6,1
10.8,3
11.0,2
11.2,3
11.4,2
11.6,2
11.8,4
12.0,5
12.2,6
12.4,2
12.6,5
12.8,6
13.0,4
13.2,6
13.4,5
13.6,4
13.8,6
14.0,6
14.2,4
14.4,4
14.6,10
14.8,4
15.0,3
15.2,7
15.4,3
15.6,1
15.8,8
16.0,6
16.2,9
16.4,11
16.6,8
16.8,10
17.0,8
17.2,2
17.4,13
17.6,8
17.8,9
18.0,12
18.2,11
18.4,4
18.6,17
18.8,7
19.0,12
19.2,7
19.4,13
19.6,13
19.8,7
20.0,14
20.2,9
20.4,17
20.6,17
20.8,22
21.0,14
21.2,10
21.4,16
21.6,24
21.8,15
22.0,21
22.2,14
22.4,16
22.6,23
22.8,23
23.0,17
23.2,30
23.4,18
23.6,24
23.8,15
24.0,26
24.2,20
24.4,27
24.6,30
24.8,30
25.0,35
25.2,28
25.4,34
25.6,27
25.8,38
26.0,26
26.2,32
26.4,32
26.6,37
26.8,40
27.0,43
27.2,39
27.4,44
27.6,49
27.8,33
28.0,54
28.2,54
28.4,39
28.6,59
28.8,63
29.0,48
29.2,70
29.4,65
29.6,67
29.8,61
30.0,75
30.2,70
30.4,72
30.6,59
30.8,73
31.0,79
31.2,79
31.4,94
31.6,58
31.8,70
32.0,93
32.2,97
32.4,92
32.6,84
32.8,114
33.0,97
33.2,105
33.4,106
33.6,110
33.8,113
34.0,121
34.2,158
34.4,127
34.6,161
34.8,131
35.0,158
35.2,126
35.4,163
35.6,143
35.8,159
36.0,156
36.2,177
36.4,168
36.6,194
36.8,187
37.0,204
37.2,200
37.4,212
37.6,194
37.8,234
38.0,236
38.2,237
38.4,227
38.6,256
38.8,245
39.0,264
39.2,269
39.4,289
39.6,294
39.8,290
40.0,324
40.2,320
40.4,361
40.6,338
40.8,344
41.0,334
41.2,326
41.4,337
41.6,362
41.8,361
42.0,366
42.2,330
42.4,349
42.6,363
42.8,328
43.0,355
43.2,347
43.4,291
43.6,339
43.8,301
44.0,317
44.2,307
44.4,326
44.6,314
44.8,346
45.0,305
45.2,294
45.4,309
45.6,299
45.8,332
46.0,301
46.2,349
46.4,295
46.6,329
46.8,325
47.0,325
47.2,324
47.4,300
47.6,316
47.8,286
48.0,286
48.2,330
48.4,309
48.6,303
48.8,297
49.0,259
49.2,288
49.4,316
49.6,332
49.8,316
50.0,277
50.2,295
50.4,286
50.6,298
50.8,281
51.0,286
51.2,308
51.4,292
51.6,349
51.8,276
52.0,329
52.2,297
52.4,297
52.6,307
52.8,314
53.0,298
53.2,275
53.4,282
53.6,298
53.8,284
54.0,274
54.2,294
54.4,291
54.6,314
54.8,262
55.0,280
55.2,302
55.4,314
55.6,265
55.8,274
56.0,284
56.2,291
56.4,266
56.6,272
56.8,281
57.0,289
57.2,254
57.4,259
57.6,291
57.8,279
58.0,297
58.2,259
58.4,280
58.6,278
58.8,275
59.0,304
59.2,266
59.4,281
59.6,301
59.8,264
60.0,252
60.2,274
60.4,275
60.6,253
60.8,289
61.0,259
61.2,248
61.4,217
61.6,260
61.8,279
62.0,241
62.2,256
62.4,240
62.6,235
62.8,234
63.0,239
63.2,216
63.4,197
63.6,204
63.8,203
64.0,197
64.2,200
64.4,215
64.6,191
64.8,196
65.0,213
65.2,209
65.4,208
65.6,204
65.8,186
66.0,177
66.2,152
66.4,149
66.6,199
66.8,163
67.0,164
67.2,172
67.4,160
67.6,168
67.8,146
68.0,162
68.2,139
68.4,173
68.6,166
68.8,153
69.0,142
69.2,144
69.4,126
69.6,139
69.8,136
70.0,108
70.2,131
70.4,125
70.6,138
70.8,121
71.0,107
71.2,128
71.4,117
71.6,134
71.8,116
72.0,151
72.2,125
72.4,106
72.6,100
72.8,127
73.0,129
73.2,103
73.4,111
73.6,117
73.8,95
74.0,101
74.2,86
74.4,95
74.6,110
74.8,81
75.0,94
75.2,84
75.4,98
75.6,94
75.8,103
76.0,103
76.2,91
76.4,83
76.6,72
76.8,71
77.0,86
77.2,63
77.4,92
77.6,76
77.8,71
78.0,60
78.2,66
78.4,81
78.6,62
78.8,61
79.0,61
79.2,74
79.4,86
79.6,79
79.8,66
80.0,63
80.2,64
80.4,53
80.6,67
80.8,61
81.0,54
81.2,69
81.4,51
81.6,54
81.8,56
82.0,57
82.2,60
82.4,55
82.6,58
82.8,48
83.0,43
83.2,54
83.4,45
83.6,46
83.8,52
84.0,55
84.2,53
84.4,45
84.6,39
84.8,53
85.0,37
85.2,46
85.4,51
85.6,47
85.8,42
86.0,41
86.2,37
86.4,37
86.6,48
86.8,52
87.0,37
87.2,38
87.4,42
87.6,32
87.8,40
88.0,40
88.2,28
88.4,41
88.6,36
88.8,39
89.0,24
89.2,37
89.4,32
89.6,32
89.8,32
90.0,37
90.2,29
90.4,33
90.6,28
90.8,34
91.0,20
91.2,28
91.4,25
91.6,24
91.8,29
92.0,26
92.2,30
92.4,30
92.6,18
92.8,24
93.0,27
93.2,25
93.4,16
93.6,24
93.8,15
94.0,23
94.2,26
94.4,11
94.6,19
94.8,19
95.0,14
95.2,14
95.4,18
95.6,17
95.8,16
96.0,17
96.2,20
96.4,18
96.6,16
96.8,15
97.0,25
97.2,18
97.4,13
97.6,23
97.8,16
98.0,24
98.2,9
98.4,20
98.6,15
98.8,20
99.0,14
99.2,11
99.4,16
99.6,13
99.8,12
100.0,14
100.2,15
100.4,5
100.6,7
100.8,12
101.0,13
101.2,9
101.4,11
101.6,15
101.8,21
102.0,13
102.2,13
102.4,17
102.6,11
102.8,15
103.0,12
103.2,15
103.4,20
103.6,14
103.8,15
104.0,12
104.2,17
104.4,12
104.6,20
104.8,19
105.0,13
105.2,12
105.4,21
105.6,15
105.8,10
106.0,13
106.2,10
106.4,11
106.6,14
106.8,15
107.0,13
107.2,20
107.4,12
107.6,21
107.8,8
108.0,16
108.2,13
108.4,20
108.6,14
108.8,18
109.0,24
109.2,19
109.4,17
109.6,15
109.8,17
110.0,16
110.2,20
110.4,21
110.6,20
110.8,18
111.0,15
111.2,14
111.4,15
111.6,18
111.8,14
112.0,19
112.2,6
112.4,15
112.6,17
112.8,15
113.0,23
113.2,17
113.4,17
113.6,15
113.8,19
114.0,14
114.2,24
114.4,23
114.6,16
114.8,16
115.0,26
115.2,28
115.4,28
115.6,17
115.8,23
116.0,25
116.2,16
116.4,27
116.6,33
116.8,28
117.0,22
117.2,22
117.4,25
117.6,18
117.8,20
118.0,23
118.2,19
118.4,16
118.6,23
118.8,18
119.0,23
119.2,24
119.4,26
119.6,18
119.8,20
120.0,18
120.2,33
120.4,24
120.6,17
120.8,22
121.0,20
121.2,26
121.4,30
121.6,23
121.8,23
122.0,28
122.2,19
122.4,30
122.6,32
122.8,18
123.0,23
123.2,26
123.4,24
123.6,15
123.8,22
124.0,17
124.2,22
124.4,36
124.6,19
124.8,35
125.0,28
125.2,32
125.4,27
125.6,27
125.8,33
126.0,23
126.2,21
126.4,27
126.6,35
126.8,22
127.0,34
127.2,42
127.4,38
127.6,25
127.8,39
128.0,28
128.2,31
128.4,39
128.6,43
128.8,27
129.0,33
129.2,30
129.4,35
129.6,34
129.8,19
130.0,38
130.2,30
130.4,33
130.6,38
130.8,25
131.0,27
131.2,34
131.4,35
131.6,44
131.8,22
132.0,36
132.2,38
132.4,32
132.6,31
132.8,35
133.0,40
133.2,43
133.4,52
133.6,53
133.8,32
134.0,44
134.2,38
134.4,35
134.6,33
134.8,37
135.0,40
135.2,32
135.4,29
135.6,46
135.8,35
136.0,49
136.2,36
136.4,34
136.6,45
136.8,39
137.0,48
137.2,55
137.4,35
137.6,39
137.8,46
138.0,37
138.2,56
138.4,49
138.6,42
138.8,40
139.0,43
139.2,49
139.4,46
139.6,48
139.8,49
140.0,54
140.2,49
140.4,57
140.6,43
140.8,41
141.0,58
141.2,52
141.4,50
141.6,43
141.8,50
142.0,49
142.2,51
142.4,57
142.6,60
142.8,55
143.0,49
143.2,43
143.4,49
143.6,45
143.8,39
144.0,46
144.2,52
144.4,61
144.6,69
144.8,51
145.0,54
145.2,65
145.4,42
145.6,59
145.8,57
146.0,63
146.2,66
146.4,52
146.6,68
146.8,64
147.0,44
147.2,59
147.4,58
147.6,56
147.8,56
148.0,58
148.2,79
148.4,59
148.6,62
148.8,74
149.0,57
149.2,69
149.4,69
149.6,75
149.8,68
150.0,52
150.2,63
150.4,80
150.6,65
150.8,73
151.0,65
151.2,53
151.4,71
151.6,83
151.8,80
152.0,74
152.2,74
152.4,93
152.6,65
152.8,70
153.0,75
153.2,84
153.4,72
153.6,70
153.8,64
154.0,73
154.2,74
154.4,91
154.6,87
154.8,74
155.0,93
155.2,71
155.4,81
155.6,83
155.8,87
156.0,97
156.2,80
156.4,74
156.6,74
156.8,88
157.0,96
157.2,100
157.4,82
157.6,74
157.8,80
158.0,92
158.2,90
158.4,91
158.6,94
158.8,90
159.0,94
159.2,111
159.4,87
159.6,81
159.8,99
160.0,99
160.2,99
160.4,89
160.6,92
160.8,98
161.0,103
161.2,110
161.4,98
161.6,84
161.8,129
162.0,91
162.2,92
162.4,107
162.6,87
162.8,92
163.0,115
163.2,110
163.4,106
163.6,111
163.8,102
164.0,110
164.2,113
164.4,104
164.6,106
164.8,107
165.0,105
165.2,103
165.4,123
165.6,116
165.8,122
166.0,122
166.2,111
166.4,122
166.6,112
166.8,105
167.0,123
167.2,125
167.4,109
167.6,139
167.8,126
168.0,120
168.2,123
168.4,136
168.6,131
168.8,123
169.0,133
169.2,131
169.4,120
169.6,113
169.8,131
170.0,123
170.2,142
170.4,129
170.6,122
170.8,116
171.0,157
171.2,126
171.4,138
171.6,165
171.8,149
172.0,137
172.2,164
172.4,142
172.6,132
172.8,153
173.0,149
173.2,158
173.4,159
173.6,143
173.8,141
174.0,165
174.2,153
174.4,153
174.6,170
174.8,160
175.0,143
175.2,160
175.4,149
175.6,152
175.8,147
176.0,163
176.2,151
176.4,170
176.6,166
176.8,173
177.0,184
177.2,161
177.4,184
177.6,141
177.8,174
178.0,163
178.2,185
178.4,190
178.6,178
178.8,191
179.0,204
179.2,184
179.4,195
179.6,205
179.8,182
180.0,191
180.2,176
180.4,183
180.6,181
180.8,184
181.0,185
181.2,191
181.4,185
181.6,187
181.8,186
182.0,215
182.2,209
182.4,211
182.6,184
182.8,194
183.0,170
183.2,210
183.4,191
183.6,204
183.8,199
184.0,214
184.2,214
184.4,205
184.6,202
184.8,219
185.0,225
185.2,212
185.4,214
185.6,235
185.8,254
186.0,243
186.2,225
186.4,237
186.6,224
186.8,232
187.0,242
187.2,220
187.4,254
187.6,252
187.8,240
188.0,244
188.2,235
188.4,231
188.6,270
188.8,256
189.0,245
189.2,231
189.4,244
189.6,268
189.8,261
190.0,257
190.2,276
190.4,279
190.6,246
190.8,271
191.0,255
191.2,246
191.4,270
191.6,272
191.8,279
192.0,284
192.2,287
192.4,311
192.6,259
192.8,284
193.0,294
193.2,258
193.4,308
193.6,319
193.8,312
194.0,293
194.2,278
194.4,332
194.6,281
194.8,311
195.0,304
195.2,307
195.4,331
195.6,285
195.8,309
196.0,315
196.2,304
196.4,332
196.6,329
196.8,333
197.0,336
197.2,342
197.4,316
197.6,346
197.8,358
198.0,343
198.2,334
198.4,357
198.6,346
198.8,345
199.0,327
199.2,331
199.4,373
199.6,343
199.8,372
200.0,353
