Timestamp,cases
1.0,0
2.0,1
3.0,0
4.0,2
5.0,0
6.0,0
7.0,0
8.0,1
9.0,2
10.0,0
11.0,2
12.0,5
13.0,4
14.0,6
15.0,3
16.0,6
17.0,8
18.0,12
19.0,12
20.0,14
21.0,14
22.0,21
23.0,17
24.0,26
25.0,35
26.0,26
27.0,43
28.0,54
29.0,48
30.0,75
31.0,79
32.0,93
33.0,97
34.0,121
35.0,158
36.0,156
37.0,204
38.0,236
39.0,264
40.0,324
41.0,334
42.0,366
43.0,355
44.0,317
45.0,305
46.0,301
47.0,325
48.0,286
49.0,259
50.0,277
51.0,286
52.0,329
53.0,298
54.0,274
55.0,280
56.0,284
57.0,289
58.0,297
59.0,304
60.0,252
61.0,259
62.0,241
63.0,239
64.0,197
65.0,213
66.0,177
67.0,164
68.0,162
69.0,142
70.0,108
71.0,107
72.0,151
73.0,129
74.0,101
75.0,94
76.0,103
77.0,86
78.0,60
79.0,61
80.0,63
81.0,54
82.0,57
83.0,43
84.0,55
85.0,37
86.0,41
87.0,37
88.0,40
89.0,24
90.0,37
91.0,20
92.0,26
93.0,27
94.0,23
95.0,14
96.0,17
97.0,25
98.0,24
99.0,14
100.0,14
101.0,13
102.0,13
103.0,12
104.0,12
105.0,13
106.0,13
107.0,13
108.0,16
109.0,24
110.0,16
111.0,15
112.0,19
113.0,23
114.0,14
115.0,26
116.0,25
117.0,22
118.0,23
119.0,23
120.0,18
121.0,20
122.0,28
123.0,23
124.0,17
125.0,28
126.0,23
127.0,34
128.0,28
129.0,33
130.0,38
131.0,27
132.0,36
133.0,40
134.0,44
135.0,40
136.0,49
137.0,48
138.0,37
139.0,43
140.0,54
141.0,58
142.0,49
143.0,49
144.0,46
145.0,54
146.0,63
147.0,44
148.0,58
149.0,57
150.0,52
151.0,65
152.0,74
153.0,75
154.0,73
155.0,93
156.0,97
157.0,96
158.0,92
159.0,94
160.0,99
161.0,103
162.0,91
163.0,115
164.0,110
165.0,105
166.0,122
167.0,123
168.0,120
169.0,133
170.0,123
171.0,157
172.0,137
173.0,149
174.0,165
175.0,143
176.0,163
177.0,184
178.0,163
179.0,204
180.0,191
181.0,185
182.0,215
183.0,170
184.0,214
185.0,225
186.0,243
187.0,242
188.0,244
189.0,245
190.0,257
191.0,255
192.0,284
193.0,294
194.0,293
195.0,304
196.0,315
197.0,336
198.0,343
199.0,327
200.0,353
